Main Category,Subcategory,Nested category,Rank
Photography & Video,Digital Photography,Wildlife Photography,7
Photography & Video,Digital Photography,Macro Photography,8
Photography & Video,Digital Photography,Mobile Photography,9
Photography & Video,Commercial Photography,Commercial Photography,1
Photography & Video,Commercial Photography,Product Photography,2
Photography & Video,Commercial Photography,Fashion Photography,3
Photography & Video,Commercial Photography,Architectural Photography,4
Photography & Video,Commercial Photography,Headshot Photography,5
Photography & Video,Commercial Photography,Stock Photography,6
Photography & Video,Commercial Photography,Event Photography,7
Photography & Video,Commercial Photography,Corporate Photography,8
Photography & Video,Commercial Photography,Advertising Photography,9
Photography & Video,Video Design,Video Editing,1
Photography & Video,Video Design,Video Production,2
Photography & Video,Video Design,Filmmaking,3
Photography & Video,Video Design,Adobe Premiere Pro,4
Photography & Video,Video Design,DaVinci Resolve,5
Photography & Video,Video Design,Final Cut Pro,6
Photography & Video,Video Design,After Effects,7
Photography & Video,Video Design,Motion Graphics,8
Photography & Video,Video Design,Cinematography,9
Photography & Video,Other Photography & Video,Artificial Intelligence,1
Photography & Video,Other Photography & Video,Adobe Photoshop,2
Photography & Video,Other Photography & Video,Entrepreneurship Fundamentals,3
Photography & Video,Other Photography & Video,Social Media Marketing,4
Photography & Video,Other Photography & Video,Video Editing,5
Photography & Video,Other Photography & Video,Canva,6
Photography & Video,Other Photography & Video,Digital Marketing,7
Photography & Video,Other Photography & Video,Photography,8
Photography & Video,Other Photography & Video,ChatGPT,9
Health & Fitness,Fitness,Fitness,1
Health & Fitness,Fitness,Personal Training,2
Health & Fitness,Fitness,Yoga,3
Health & Fitness,Fitness,Pilates,4
Health & Fitness,Fitness,Weight Loss,5
Health & Fitness,Fitness,Strength Training,6
Health & Fitness,Fitness,Bodybuilding,7
Health & Fitness,Fitness,HIIT,8
Health & Fitness,Fitness,Stretching,9
Health & Fitness,General Health,Health,1
Health & Fitness,General Health,Nutrition,2
Health & Fitness,General Health,Wellness,3
Health & Fitness,General Health,Herbalism,4
Health & Fitness,General Health,Aromatherapy,5
Health & Fitness,General Health,Holistic Health,6
Health & Fitness,General Health,Natural Medicine,7
Health & Fitness,General Health,Ayurveda,8
Health & Fitness,General Health,Longevity,9
Health & Fitness,Sports,Sports,1
Health & Fitness,Sports,Martial Arts,2
Health & Fitness,Sports,Boxing,3
Health & Fitness,Sports,MMA,4
Health & Fitness,Sports,Karate,5
Health & Fitness,Sports,Judo,6
Health & Fitness,Sports,Taekwondo,7
Health & Fitness,Sports,Brazilian Jiu-Jitsu,8
Health & Fitness,Sports,Self-Defense,9
Health & Fitness,Nutrition & Diet,Nutrition,1
Health & Fitness,Nutrition & Diet,Diet,2
Health & Fitness,Nutrition & Diet,Meal Planning,3
Health & Fitness,Nutrition & Diet,Sports Nutrition,4
Health & Fitness,Nutrition & Diet,Weight Management,5
Health & Fitness,Nutrition & Diet,Keto,6
Health & Fitness,Nutrition & Diet,Vegan,7
Health & Fitness,Nutrition & Diet,Intermittent Fasting,8
Health & Fitness,Nutrition & Diet,Supplements,9
Health & Fitness,Yoga,Yoga,1
Health & Fitness,Yoga,Meditation,2
Health & Fitness,Yoga,Pranayama,3
Health & Fitness,Yoga,Kundalini,4
Health & Fitness,Yoga,Vinyasa,5
Health & Fitness,Yoga,Hatha,6
Health & Fitness,Yoga,Ashtanga,7
Health & Fitness,Yoga,Yin Yoga,8
Health & Fitness,Yoga,Restorative Yoga,9
Health & Fitness,Mental Health,Mental Health,1
Health & Fitness,Mental Health,Anxiety,2
Health & Fitness,Mental Health,Depression,3
Health & Fitness,Mental Health,Stress Management,4
Health & Fitness,Mental Health,CBT,5
Health & Fitness,Mental Health,Counseling,6
Health & Fitness,Mental Health,Psychology,7
Health & Fitness,Mental Health,Mindfulness,8
Health & Fitness,Mental Health,Trauma,9
Health & Fitness,Safety & First Aid,First Aid,1
Health & Fitness,Safety & First Aid,CPR,2
Health & Fitness,Safety & First Aid,Workplace Safety,3
Health & Fitness,Safety & First Aid,OSHA,4
Health & Fitness,Safety & First Aid,Fire Safety,5
Health & Fitness,Safety & First Aid,Food Safety,6
Health & Fitness,Safety & First Aid,Health & Safety,7
Health & Fitness,Safety & First Aid,Emergency Preparedness,8
Health & Fitness,Safety & First Aid,Survival Skills,9
Health & Fitness,Dance,Dance,1
Health & Fitness,Dance,Salsa,2
Health & Fitness,Dance,Ballet,3
Health & Fitness,Dance,Hip Hop,4
Health & Fitness,Dance,Belly Dance,5
Health & Fitness,Dance,Tango,6
Health & Fitness,Dance,Bachata,7
Health & Fitness,Dance,Contemporary Dance,8
Health & Fitness,Dance,Ballroom Dance,9
Health & Fitness,Meditation,Meditation,1
Health & Fitness,Meditation,Mindfulness,2
Health & Fitness,Meditation,Breathwork,3
Health & Fitness,Meditation,Guided Meditation,4
Health & Fitness,Meditation,Transcendental Meditation,5
Health & Fitness,Meditation,Sound Healing,6
Health & Fitness,Meditation,Yoga Nidra,7
Health & Fitness,Meditation,Zen,8
Health & Fitness,Meditation,Visualization,9
Health & Fitness,Other Health & Fitness,Massage,1
Health & Fitness,Other Health & Fitness,Reflexology,2
Health & Fitness,Other Health & Fitness,Acupuncture,3
Health & Fitness,Other Health & Fitness,Physiotherapy,4
Health & Fitness,Other Health & Fitness,Occupational Therapy,5
Health & Fitness,Other Health & Fitness,Speech Therapy,6
Health & Fitness,Other Health & Fitness,Chiropractic,7
Health & Fitness,Other Health & Fitness,Sports Medicine,8
Health & Fitness,Other Health & Fitness,Kinesiology,9
Music,Instruments,Guitar,1
Music,Instruments,Keyboard Instrument,2
Music,Instruments,Drums,3
Music,Instruments,Violin,4
Music,Instruments,Ukulele,5
Music,Instruments,Piano,6
Music,Instruments,Bass Guitar,7
Music,Instruments,Piano Chords,8
Music,Instruments,Harmonica,9
Music,Music Production,Music Production,1
Music,Music Production,Music Mixing,2
Music,Music Production,Ableton Live,3
Music,Music Production,Music Composition,4
Music,Music Production,FL Studio,5
Music,Music Production,Audio Production,6
Music,Music Production,Sound Design,7
Music,Music Production,Songwriting,8
Music,Music Production,Music Mastering,9
Music,Music Fundamentals,Music Theory,1
Music,Music Fundamentals,Singing,2
Music,Music Fundamentals,Reading Music,3
Music,Music Fundamentals,Ear Training,4
Music,Music Fundamentals,Music Composition,5
Music,Music Fundamentals,Songwriting,6
Music,Music Fundamentals,Improvisation,7
Music,Music Fundamentals,Harmony,8
Music,Music Fundamentals,Rhythm,9
Music,Vocal,Singing,1
Music,Vocal,Voice Training,2
Music,Vocal,Breathing,3
Music,Vocal,Vocal Techniques,4
Music,Vocal,Rapping,5
Music,Vocal,Beatboxing,6
Music,Vocal,Voice Acting,7
Music,Vocal,Voiceover,8
Music,Vocal,Speech,9
Music,Music Techniques,Fingerstyle Guitar,1
Music,Music Techniques,Improvisation,2
Music,Music Techniques,Music Mixing,3
Music,Music Techniques,Music Recording,4
Music,Music Techniques,Jazz Piano,5
Music,Music Techniques,Blues Guitar,6
Music,Music Techniques,Piano Improvisation,7
Music,Music Techniques,Guitar Chords,8
Music,Music Techniques,Classical Guitar,9
Music,Other Music,DJ,1
Music,Other Music,Music Business,2
Music,Other Music,Music Marketing,3
Music,Other Music,Concert,4
Music,Other Music,Live Sound,5
Music,Other Music,Audio Engineering,6
Music,Other Music,Music Licensing,7
Music,Other Music,Music Education,8
Music,Other Music,Music Therapy,9
Teaching & Academics,Engineering,Civil Engineering,1
Teaching & Academics,Engineering,Electrical Engineering,2
Teaching & Academics,Engineering,Solar Energy,3
Teaching & Academics,Engineering,Electronics,4
Teaching & Academics,Engineering,Structural Engineering,5
Teaching & Academics,Engineering,Mechanical Engineering,6
Teaching & Academics,Engineering,Control Systems,7
Teaching & Academics,Engineering,Chemical Engineering,8
Teaching & Academics,Engineering,Finite Element Analysis (FEA),9
Teaching & Academics,Humanities,Psychology,1
Teaching & Academics,Humanities,Theology,2
Teaching & Academics,Humanities,Philosophy,3
Teaching & Academics,Humanities,Creative Writing,4
Teaching & Academics,Humanities,Sociology,5
Teaching & Academics,Humanities,English Literature,6
Teaching & Academics,Humanities,Critical Thinking,7
Teaching & Academics,Humanities,Art History,8
Teaching & Academics,Humanities,World History,9
Teaching & Academics,Math,Statistics,1
Teaching & Academics,Math,Calculus,2
Teaching & Academics,Math,Algebra,3
Teaching & Academics,Math,Linear Algebra,4
Teaching & Academics,Math,Probability,5
Teaching & Academics,Math,Discrete Math,6
Teaching & Academics,Math,Trigonometry,7
Teaching & Academics,Math,Geometry,8
Teaching & Academics,Math,Precalculus,9
Teaching & Academics,Science,Physics,1
Teaching & Academics,Science,Biology,2
Teaching & Academics,Science,Chemistry,3
Teaching & Academics,Science,Anatomy,4
Teaching & Academics,Science,Organic Chemistry,5
Teaching & Academics,Science,Microbiology,6
Teaching & Academics,Science,Genetics,7
Teaching & Academics,Science,Astronomy,8
Teaching & Academics,Science,Neuroscience,9
Teaching & Academics,Social Science,Psychology,1
Teaching & Academics,Social Science,Research Methods,2
Teaching & Academics,Social Science,Counseling,3
Teaching & Academics,Social Science,Sociology,4
Teaching & Academics,Social Science,Economics Fundamentals,5
Teaching & Academics,Social Science,International Relations,6
Teaching & Academics,Social Science,Political Science,7
Teaching & Academics,Social Science,Law,8
Teaching & Academics,Social Science,Anthropology,9
Teaching & Academics,Language Learning,English Language,1
Teaching & Academics,Language Learning,Spanish Language,2
Teaching & Academics,Language Learning,German Language,3
Teaching & Academics,Language Learning,French Language,4
Teaching & Academics,Language Learning,Japanese Language,5
Teaching & Academics,Language Learning,Italian Language,6
Teaching & Academics,Language Learning,Korean Language,7
Teaching & Academics,Language Learning,Chinese Language,8
Teaching & Academics,Language Learning,Arabic Language,9
Teaching & Academics,Teacher Training,Train the Trainer,1
Teaching & Academics,Teacher Training,Instructional Design,2
Teaching & Academics,Teacher Training,Teaching Online,3
Teaching & Academics,Teacher Training,Classroom Management,4
Teaching & Academics,Teacher Training,Early Childhood Education,5
Teaching & Academics,Teacher Training,Facilitation,6
Teaching & Academics,Teacher Training,Presentation Skills,7
Teaching & Academics,Teacher Training,Education Management,8
Teaching & Academics,Teacher Training,Art Therapy,9
Teaching & Academics,Test Prep,IELTS,1
Teaching & Academics,Test Prep,Digital SAT,2
Teaching & Academics,Test Prep,TOEFL,3
Teaching & Academics,Test Prep,GRE,4
Teaching & Academics,Test Prep,PTE Academic,5
Teaching & Academics,Test Prep,JLPT,6
Teaching & Academics,Test Prep,GED,7
Teaching & Academics,Test Prep,LSAT,8
Teaching & Academics,Test Prep,GMAT,9
Teaching & Academics,Online Education,Online Course Creation,1
Teaching & Academics,Online Education,Teaching Online,2
Teaching & Academics,Online Education,Instructional Design,3
Teaching & Academics,Online Education,Udemy,4
Teaching & Academics,Online Education,Articulate Storyline,5
Teaching & Academics,Online Education,eLearning,6
Teaching & Academics,Online Education,Moodle,7
Teaching & Academics,Online Education,Curriculum Development,8
Teaching & Academics,Online Education,Webinar,9
Teaching & Academics,Other Teaching & Academics,Proofreading,1
Teaching & Academics,Other Teaching & Academics,Medical Coding,2
Teaching & Academics,Other Teaching & Academics,Steno,3
Teaching & Academics,Other Teaching & Academics,Research Paper Writing,4
Teaching & Academics,Other Teaching & Academics,Qualitative Research,5
Teaching & Academics,Other Teaching & Academics,Academic Writing,6
Teaching & Academics,Other Teaching & Academics,Medical Terminology,7
Teaching & Academics,Other Teaching & Academics,Montessori,8
Teaching & Academics,Other Teaching & Academics,Piano,9
Business,Entrepreneurship,Entrepreneurship,1
Business,Entrepreneurship,Business Fundamentals,2
Business,Entrepreneurship,Freelancing,3
Business,Entrepreneurship,Business Plan,4
Business,Entrepreneurship,Startups,5
Business,Entrepreneurship,ChatGPT,6
Business,Entrepreneurship,Dropshipping,7
Business,Entrepreneurship,Shopify,8
Business,Entrepreneurship,Amazon FBA,9
Business,Communication,Communication Skills,1
Business,Communication,Public Speaking,2
Business,Communication,Business Writing,3
Business,Communication,Presentation Skills,4
Business,Communication,Assertiveness,5
Business,Communication,Storytelling,6
Business,Communication,Technical Writing,7
Business,Communication,Interpersonal Skills,8
Business,Communication,Conflict Management,9
Business,Management,Management Skills,1
Business,Management,Leadership,2
Business,Management,Project Management,3
Business,Management,Product Management,4
Business,Management,Operations Management,5
Business,Management,Supply Chain,6
Business,Management,Quality Management,7
Business,Management,Strategic Management,8
Business,Management,ISO,9
Business,Sales,Sales Skills,1
Business,Sales,Negotiation,2
Business,Sales,Customer Service,3
Business,Sales,Persuasion,4
Business,Sales,Cold Calling,5
Business,Sales,B2B Sales,6
Business,Sales,Sales Management,7
Business,Sales,Lead Generation,8
Business,Sales,Salesforce,9
Business,Business Strategy,Business Strategy,1
Business,Business Strategy,Digital Transformation,2
Business,Business Strategy,Management Consulting,3
Business,Business Strategy,Business Analysis,4
Business,Business Strategy,Strategic Planning,5
Business,Business Strategy,Change Management,6
Business,Business Strategy,Innovation,7
Business,Business Strategy,Game Theory,8
Business,Business Strategy,SWOT Analysis,9
Business,Operations,Supply Chain,1
Business,Operations,Six Sigma,2
Business,Operations,Logistics Management,3
Business,Operations,Quality Management,4
Business,Operations,Operations Management,5
Business,Operations,Lean,6
Business,Operations,Inventory Management,7
Business,Operations,Purchasing,8
Business,Operations,SAP MM,9
Business,Project Management,Project Management,1
Business,Project Management,PMP,2
Business,Project Management,Agile,3
Business,Project Management,Scrum,4
Business,Project Management,PRINCE2,5
Business,Project Management,CAPM,6
Business,Project Management,Project Planning,7
Business,Project Management,Microsoft Project,8
Business,Project Management,JIRA,9
Business,Business Law,Business Law,1
Business,Business Law,Contract Law,2
Business,Business Law,Intellectual Property,3
Business,Business Law,GDPR,4
Business,Business Law,Employment Law,5
Business,Business Law,Corporate Governance,6
Business,Business Law,Patent,7
Business,Business Law,Ethics,8
Business,Business Law,Medical Law,9
Business,Business Intelligence,Business Intelligence,1
Business,Business Intelligence,SQL,2
Business,Business Intelligence,Power BI,3
Business,Business Intelligence,Tableau,4
Business,Business Intelligence,Data Analysis,5
Business,Business Intelligence,Microsoft Excel,6
Business,Business Intelligence,Google Looker Studio,7
Business,Business Intelligence,Data Modeling,8
Business,Business Intelligence,Alteryx,9
Business,Human Resources,Human Resources,1
Business,Human Resources,Recruitment,2
Business,Human Resources,Instructional Design,3
Business,Human Resources,Talent Management,4
Business,Human Resources,Emotional Intelligence,5
Business,Human Resources,Payroll,6
Business,Human Resources,Employment Law,7
Business,Human Resources,Performance Management,8
Business,Human Resources,Training and Development,9
Business,Other Business,Real Estate Investing,1
Business,Other Business,Medical Coding,2
Business,Other Business,Grant Writing,3
Business,Other Business,Bookkeeping,4
Business,Other Business,Quickbooks Online,5
Business,Other Business,Fundraising,6
Business,Other Business,Construction Estimation,7
Business,Other Business,Non Profit Management,8
Business,Other Business,Amazon AWS,9
Development,Web Development,JavaScript,1
Development,Web Development,React JS,2
Development,Web Development,Angular,3
Development,Web Development,Node.Js,4
Development,Web Development,PHP,5
Development,Web Development,HTML5,6
Development,Web Development,CSS3,7
Development,Web Development,Next.js,8
Development,Web Development,Full Stack Web Development,9
Development,Data Science,Python,1
Development,Data Science,Machine Learning,2
Development,Data Science,Deep Learning,3
Development,Data Science,Data Analysis,4
Development,Data Science,Artificial Intelligence (AI),5
Development,Data Science,R (Programming Language),6
Development,Data Science,Statistics,7
Development,Data Science,Natural Language Processing (NLP),8
Development,Data Science,Neural Networks,9
Development,Mobile Development,Swift,1
Development,Mobile Development,Flutter,2
Development,Mobile Development,React Native,3
Development,Mobile Development,Android Development,4
Development,Mobile Development,iOS Development,5
Development,Mobile Development,Kotlin,6
Development,Mobile Development,Dart (Programming Language),7
Development,Mobile Development,SwiftUI,8
Development,Mobile Development,Mobile App Development,9
Development,Programming Languages,Python,1
Development,Programming Languages,Java,2
Development,Programming Languages,C#,3
Development,Programming Languages,C++,4
Development,Programming Languages,C (Programming Language),5
Development,Programming Languages,Rust,6
Development,Programming Languages,Go (Programming Language),7
Development,Programming Languages,Spring Framework,8
Development,Programming Languages,TypeScript,9
Development,Game Development,Unity,1
Development,Game Development,Unreal Engine,2
Development,Game Development,C#,3
Development,Game Development,C++,4
Development,Game Development,Game Development Fundamentals,5
Development,Game Development,3D Game Development,6
Development,Game Development,2D Game Development,7
Development,Game Development,Godot,8
Development,Game Development,Unreal Engine 5,9
Development,Database Design & Development,SQL,1
Development,Database Design & Development,MySQL,2
Development,Database Design & Development,PostgreSQL,3
Development,Database Design & Development,MongoDB,4
Development,Database Design & Development,Oracle SQL,5
Development,Database Design & Development,Database Management System (DBMS),6
Development,Database Design & Development,Apache Kafka,7
Development,Database Design & Development,Microsoft SQL Server,8
Development,Database Design & Development,Redis,9
Development,Software Testing,Selenium WebDriver,1
Development,Software Testing,Software Testing,2
Development,Software Testing,Automation Testing,3
Development,Software Testing,Java,4
Development,Software Testing,API Testing,5
Development,Software Testing,QA Testing,6
Development,Software Testing,Postman,7
Development,Software Testing,Playwright,8
Development,Software Testing,Cypress.io,9
Development,Software Engineering,Data Structures,1
Development,Software Engineering,Algorithms,2
Development,Software Engineering,Software Architecture,3
Development,Software Engineering,Coding Interview,4
Development,Software Engineering,Microservices,5
Development,Software Engineering,Design Patterns,6
Development,Software Engineering,System Design,7
Development,Software Engineering,Clean Code,8
Development,Software Engineering,Object Oriented Programming (OOP),9
Development,Software Development Tools,Docker,1
Development,Software Development Tools,Kubernetes,2
Development,Software Development Tools,Git,3
Development,Software Development Tools,DevOps,4
Development,Software Development Tools,JIRA,5
Development,Software Development Tools,Jenkins,6
Development,Software Development Tools,Terraform,7
Development,Software Development Tools,GitHub,8
Development,Software Development Tools,Ansible,9
Development,No-Code Development,Bubble,1
Development,No-Code Development,Webflow,2
Development,No-Code Development,WordPress,3
Development,No-Code Development,Airtable,4
Development,No-Code Development,Zapier,5
Development,No-Code Development,Adalo,6
Development,No-Code Development,FlutterFlow,7
Development,No-Code Development,Glide,8
Development,No-Code Development,No-Code App Development,9
Development,Other Development,Python,1
Development,Other Development,ChatGPT,2
Development,Other Development,Artificial Intelligence (AI),3
Development,Other Development,Generative AI (GenAI),4
Development,Other Development,Prompt Engineering,5
Development,Other Development,Low-Code Development,6
Development,Other Development,Blockchain,7
Development,Other Development,Solidity,8
Development,Other Development,Computer Vision,9
